"Business Name","Street","City","State","ZIP","Branch 1","Branch 1 Address","Branch 1 Proximity (miles)","Branch 2","Branch 2 Address","Branch 2 Proximity (miles)","Branch 3","Branch 3 Address","Branch 3 Proximity (miles)","Branch 4","Branch 4 Address","Branch 4 Proximity (miles)","Branch 5","Branch 5 Address","Branch 5 Proximity (miles)","Reps 1","Reps 1 Phone","Reps 1 Email","Reps 2","Reps 2 Phone","Reps 2 Email","Reps 3","Reps 3 Phone","Reps 3 Email","Reps 4","Reps 4 Phone","Reps 4 Email","Reps 5","Reps 5 Phone","Reps 5 Email","Manager","",""
"Wal-Mart Stores Inc.","440 N Euclid St","Anaheim","CA","92801","Branch 54","741 E. Ball Rd, Suite 100 Anaheim CA 92805","3","Branch 1524","696 E. COMMONWEALTH AVE FULLERTON CA 92831","3","Branch 6029","696 E. COMMONWEALTH AVE FULLERTON CA 92831","3","Branch 1504","2428 N GRAND AVE #E SANTA ANA CA 92705","7","Branch 1543","17420 BELLFLOWER BLVD BELLFLOWER CA 90706","11","Diane Rahme 2.5 miles","714-271-2800","drahme@peopleready.com","Ryan Oster 12.8 miles","760-738-8355","roster@peopleready.com","Laura Griego 20.9 miles","951-377-7060","lgriego@peopleready.com","Jesus Ochoa 31.8 miles","310-558-7900","jochoa@peopleready.com","Claudia Lemus 34.7 miles","323-855-6551","clemus@peopleready.com","Cristina Nunez","Jay Reid",""
"Wal-Mart Stores Inc.","88 E Orangethorpe Ave","Anaheim","CA","92801","Branch 1524","696 E. COMMONWEALTH AVE FULLERTON CA 92831","1","Branch 6029","696 E. COMMONWEALTH AVE FULLERTON CA 92831","1","Branch 54","741 E. Ball Rd, Suite 100 Anaheim CA 92805","3","Branch 1504","2428 N GRAND AVE #E SANTA ANA CA 92705","7","Branch 1529","15259 EAST GALE AVE CITY OF INDUSTRY CA 91745","11","Diane Rahme 2.9 miles","714-271-2800","drahme@peopleready.com","Ryan Oster 14.4 miles","760-738-8355","roster@peopleready.com","Laura Griego 19.4 miles","951-377-7060","lgriego@peopleready.com","Jesus Ochoa 31.5 miles","310-558-7900","jochoa@peopleready.com","Claudia Lemus 34.5 miles","323-855-6551","clemus@peopleready.com","Cristina Nunez","Jay Reid",""
"Wal-Mart Stores Inc.","5000 Rhonda Rd","Anderson","CA","96007","Branch 2154","113 lake blvd. REDDING CA 96003","13","Branch 2151","1362 COLUSA HWY YUBA CITY CA 95991-","96","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","7901 Watt Ave Frnt","Antelope","CA","95843","Branch 1517","8421 AUBURN BLVD 200 CITRUS HEIGHTS CA 95610","6","Branch 2196","1300 Ethan Way Ste 225 Sacramento CA 95825","8","Branch 126","1300 Ethan Way Suite 330 Sacramento CA 95825","9","Branch 7265","1300 Ethan Way Suite 225 Sacramento CA 95825","9","Branch 1603","3050 BEACON BLVD, SUITE 102 SACRAMENTO CA 95691","13","Joseph Bray 8.6 miles","916-769-5373","jbray@peopleready.com","Kathy Martinez 8.6 miles","916-225-3070","kmartinez@peopleready.com","Matthew Ciufia 8.6 miles","916-221-0852","mciufia@peopleready.com","Jessica Kraft 48.7 miles","406-437-3769","jkraft@peopleready.com","Matt Rosano 61.1 miles","(707) 450-9295","MRosano@PeopleReady.com","Doug Graves","Jay Reid",""
"Wal-Mart Stores Inc.","4893 Lone Tree Way","Antioch","CA","94531","Branch 1525","3569 CLAYTON ROAD CONCORD CA 94520","14","Branch 1522","6530 PACIFIC AVE STE C STOCKTON CA 95207","24","Branch 1516","401 EAST TABOR AVENUE FAIRFIELD CA 94533","25","Branch 7266","22320 Foothill Blvd Suite 180 Hayward CA 94541","26","Branch 1502","24233 Hesperian Blvd Hayward CA 94545","29","Matt Rosano 13.5 miles","(707) 450-9295","MRosano@PeopleReady.com","Jessica Kraft 24.3 miles","406-437-3769","jkraft@peopleready.com","Marlo Vazquez 31.1 miles","650-261-2100","mvazquez@peopleready.com","Craig Ward 31.3 miles","707-580-5616","cward@peopleready.com","Ryan Engelland 31.3 miles","415-378-4027","rengelland@peopleready.com","Robert Hudson","Clint Bennett","Jay Reid"
"Wal-Mart Stores Inc.","20251 Us Highway 18","Apple Valley","CA","92307","Branch 2158","14344 MAIN STREET HESPERIA CA 92345-","10","Branch 1567","1422 E. Highland Ave SAN BERNARDINO CA 92404","27","Branch 2172","1420 E. Cooley Dr Ste 200-Q Colton CA 92324","34","Branch 1539","1386 E. FOOTHILL BLVD SUITE J UPLAND CA 91786","37","Branch 1515","1960 Chicago Ave. Ste. D3 RIVERSIDE CA 92507","38","Marshand Noriega 27.1 miles","909-553-1492","mnoriega@peopleready.com","Laura Griego 48.8 miles","951-377-7060","lgriego@peopleready.com","Diane Rahme 62.3 miles","714-271-2800","drahme@peopleready.com","Jesus Ochoa 66.5 miles","310-558-7900","jochoa@peopleready.com","Claudia Lemus 69.1 miles","323-855-6551","clemus@peopleready.com","Mags Kelly","Thomas Stonich","Jay Reid"
"Wal-Mart Stores Inc.","21101 Johnson Rd","Apple Valley","CA","92307","Branch 2158","14344 MAIN STREET HESPERIA CA 92345-","15","Branch 1567","1422 E. Highland Ave SAN BERNARDINO CA 92404","32","Branch 2172","1420 E. Cooley Dr Ste 200-Q Colton CA 92324","39","Branch 1539","1386 E. FOOTHILL BLVD SUITE J UPLAND CA 91786","42","Branch 1585","1176 CALIMESA BLVD CALIMESA CA 92320","42","Marshand Noriega 32.0 miles","909-553-1492","mnoriega@peopleready.com","Laura Griego 53.7 miles","951-377-7060","lgriego@peopleready.com","Diane Rahme 67.0 miles","714-271-2800","drahme@peopleready.com","Jesus Ochoa 69.7 miles","310-558-7900","jochoa@peopleready.com","Claudia Lemus 72.2 miles","323-855-6551","clemus@peopleready.com","Mags Kelly","Thomas Stonich","Jay Reid"
"Wal-Mart Stores Inc.","1168 W Branch St","Arroyo Grande","CA","93420","Branch 1584","409 E CHURCH ST STE A SANTA MARIA CA 93454","15","Branch 2155","123 E CARRILLO STREET SANTA BARBARA CA 93101","70","Branch 160","4638 California Avenue Bakersfield CA 93309","89","Branch 1519","1314 34th St., Suite A Bakersfield CA 93301","91","Branch 51","1650 Palma Drive Suite 204 Ventura CA 93003","98","Jaime Delgado 90.4 miles","661-567-7203","jdelgado@peopleready.com","Matthew Elkins 98.2 miles","805-620-8662","melkins@trueblue.com","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","800 Commerce Ave","Atwater","CA","95301","Branch 1518","1310 W MAIN ST Turlock CA 95380","17","Branch 1589","2000 STANDIFORD AVENUE, SUITE B MODESTO CA 95350","33","Branch 2174","Manteca CA 95336","46","Branch 1552","130 W. YOSEMITE AVE. MANTECA CA 95337-","46","Branch 135","2350 WestShaw Ave Suite #146A Fresno CA 93711","56","Angielee Soto 58.9 miles","","asoto@peopleready.com","Jessica Kraft 60.2 miles","406-437-3769","jkraft@peopleready.com","Raymond Baumbick 87.7 miles","650-307-7022","rbaumbick@peopleready.com","Matt Rosano 87.9 miles","(707) 450-9295","MRosano@PeopleReady.com","Amy Cardoway 89.7 miles","408-679-9823","acardoway@peopleready.com","Adam Mering","Thomas Stonich","Jay Reid"
"Wal-Mart Stores Inc.","2601 Fashion Pl","Bakersfield","CA","93306","Branch 1519","1314 34th St., Suite A Bakersfield CA 93301","3","Branch 160","4638 California Avenue Bakersfield CA 93309","5","Branch 1560","1229 W CALDWELL AVE VISALIA CA 93277","65","Branch 1546","190 SIERRA CT. # C1 PALMDALE CA 93550","70","Branch 1527","24225 Main St Newhall CA 91321","74","Jaime Delgado 3.6 miles","661-567-7203","jdelgado@peopleready.com","Vinnie Pasquale 65.3 miles","","vpasquale@peopleready.com","Matthew Elkins 79.8 miles","805-620-8662","melkins@trueblue.com","Joe Mejia 85.1 miles","661-260-3650","jmejia@peopleready.com","Claudia Lemus 89.4 miles","323-855-6551","clemus@peopleready.com","","",""
